iso,sector,fuel,X1990,units
aus,1A1a_Electricity-autoproducer,hard_coal,0.00115,fraction
aus,1A1a_Electricity-public,hard_coal,0.00115,fraction
aus,1A1a_Heat-production,hard_coal,0.00115,fraction
aus,1A2a_Ind-Comb-Iron-steel,hard_coal,0.00115,fraction
aus,1A2b_Ind-Comb-Non-ferrous-metals,hard_coal,0.00115,fraction
aus,1A2c_Ind-Comb-Chemicals,hard_coal,0.00115,fraction
aus,1A2d_Ind-Comb-Pulp-paper,hard_coal,0.00115,fraction
aus,1A2e_Ind-Comb-Food-tobacco,hard_coal,0.00115,fraction
aus,1A2f_Ind-Comb-Non-metalic-minerals,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-Construction,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-machinery,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-mining-quarying,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-other,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-textile-leather,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-transpequip,hard_coal,0.00115,fraction
aus,1A2g_Ind-Comb-wood-products,hard_coal,0.00115,fraction
aus,1A4a_Commercial-institutional,hard_coal,0.00115,fraction
aus,1A4b_Residential,hard_coal,0.00115,fraction
aus,1A4c_Agriculture-forestry-fishing,hard_coal,0.00115,fraction
aus,1A5_Other-unspecified,hard_coal,0.00115,fraction
aus,1A1a_Electricity-autoproducer,brown_coal,0.0043,fraction
aus,1A1a_Electricity-public,brown_coal,0.0043,fraction
aus,1A1a_Heat-production,brown_coal,0.0043,fraction
aus,1A2a_Ind-Comb-Iron-steel,brown_coal,0.0043,fraction
aus,1A2b_Ind-Comb-Non-ferrous-metals,brown_coal,0.0043,fraction
aus,1A2c_Ind-Comb-Chemicals,brown_coal,0.0043,fraction
aus,1A2d_Ind-Comb-Pulp-paper,brown_coal,0.0043,fraction
aus,1A2e_Ind-Comb-Food-tobacco,brown_coal,0.0043,fraction
aus,1A2f_Ind-Comb-Non-metalic-minerals,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-Construction,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-machinery,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-mining-quarying,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-other,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-textile-leather,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-transpequip,brown_coal,0.0043,fraction
aus,1A2g_Ind-Comb-wood-products,brown_coal,0.0043,fraction
aus,1A4a_Commercial-institutional,brown_coal,0.0043,fraction
aus,1A4b_Residential,brown_coal,0.0043,fraction
aus,1A4c_Agriculture-forestry-fishing,brown_coal,0.0043,fraction
aus,1A5_Other-unspecified,brown_coal,0.0043,fraction
