emission,iso,sector,fuel,units,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
NH3,usa,1A2g_Ind-Comb-Construction,diesel_oil,kt/kt,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05
NH3,usa,1A2g_Ind-Comb-Construction,light_oil,kt/kt,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,
NH3,usa,1A4c_Agriculture-forestry-fishing,diesel_oil,kt/kt,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05
NH3,usa,1A4c_Agriculture-forestry-fishing,light_oil,kt/kt,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,
NH3,can,1A2g_Ind-Comb-Construction,diesel_oil,kt/kt,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05
NH3,can,1A2g_Ind-Comb-Construction,light_oil,kt/kt,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,
NH3,can,1A4c_Agriculture-forestry-fishing,diesel_oil,kt/kt,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05,2.54454E-05
NH3,can,1A4c_Agriculture-forestry-fishing,light_oil,kt/kt,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,
NH3,usa,1A2g_Ind-Comb-other,light_oil,kt/kt,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,
NH3,usa,1A5_Other-unspecified,light_oil,kt/kt,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,0.000044,
