"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCBUS","194913","1554.118","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195013","1541.548","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195113","1306.595","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195213","1169.14","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195313","965.664","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195413","824.598","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195513","800.706","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195613","714.627","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195713","534.873","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195813","500.532","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","195913","415.164","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196013","406.723","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196113","370.815","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196213","361.908","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196313","317.492","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196413","274.245","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196513","265.285","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196613","263.123","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196713","225.425","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196813","207.688","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","196913","194.941","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197013","164.513","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197113","179.005","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197213","153.479","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197301","20.252","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197302","17.347","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197303","13.621","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197304","8.918","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197305","9.047","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197306","9.076","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197307","8.961","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197308","9.68","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197309","13.046","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197310","15.203","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197311","16.829","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197312","17.922","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197313","159.902","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197401","23.448","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197402","20.009","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197403","16.035","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197404","11.082","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197405","9.554","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197406","9.126","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197407","8.484","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197408","11.984","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197409","14.659","1","Coal Consumed by the Commercial Sector","Trillion Btu"
